image_filename,prompt
21.jpg,"A stylized product photo of a low-top performance basketball sneaker, light blue engineered mesh upper with ribbed side panels, featuring a prominent textured metallic gold swoosh, and a translucent light blue midsole and outsole, dramatic studio lighting, on a clean grey gradient background, side profile view."
22.jpg,"A product photo of a low-top court sneaker, black mesh upper with synthetic overlays, featuring a large, iridescent, multi-colored swoosh and heel counter, on a glow-in-the-dark pale green translucent sole, studio lighting, clean white background, side profile view."
23.jpg,"A product photo of a futuristic basketball sneaker, cream-colored upper with horizontal ribbed detailing, sage green tongue and laces, a bold green suede swoosh, a cream and green midsole with 'ZOOMX' branding, and a spiky heel counter with the number 4, studio lighting, clean white background, side profile view."
24.jpg,"A product photo of a sleek, modern court sneaker, featuring a semi-translucent dark olive green upper that reveals the shoe's inner structure, a bold, glossy lime green swoosh, and a dark olive green midsole with a matching lime green accent, studio lighting, clean white background, side profile view."
25.jpg,"A product photo of a vibrant coral pink basketball sneaker, low-top silhouette with a textured knit upper, matching coral laces, black Jumpman logo on the heel, black 'AIR ZOOM' branding on the forefoot, matching coral midsole and outsole, studio lighting, clean grey background, side profile view."
26.jpg,"A product photo of a performance basketball sneaker, light purple upper with a subtle geometric pattern, featuring a metallic gold swoosh outlined by a vibrant iridescent blue and purple swoosh, dark purple laces and tongue, a pale yellow midsole, and a brown gum rubber outsole, studio lighting, clean white background, side profile view."
27.jpg,"A stylized product photo of a low-top performance court sneaker, vibrant red-orange upper with extensive perforations for breathability, a multi-layered swoosh with black, pale green, and yellow details, on a contrasting pale green midsole with 'ZOOM' branding, dramatic studio lighting, on a clean grey gradient background, side profile view."
28.jpg,"A stylized product photo of a sleek, low-top court sneaker, white upper with molded wavy textures on the heel, featuring a bright blue swoosh with a metallic gold outline, an off-white midsole and a classic brown gum rubber outsole, dramatic studio lighting, on a clean grey gradient background, side profile view."
29.jpg,"A product photo of a modern low-top lifestyle sneaker, featuring a light blue denim underlay with a semi-translucent white structural cage overlay, and metallic gold accents on the Jumpman logo, tongue, and heel pull tab, studio lighting, on a clean grey background, side profile view."
30.jpg,"A product photo of a modern low-top basketball sneaker, light grey mesh upper with layered, fluid overlays in turquoise and mint green, a white midsole with a translucent turquoise outsole, and vibrant lime green and red accents on the eyelets, studio lighting, on a clean grey background, side profile view."
31.jpg,"A product photo of a performance basketball sneaker, black and red knit upper with a black textured midfoot strap, featuring a red and black layered swoosh, black laces, a prominent red 'KD' logo on the white midsole, and a black and red rubber outsole, studio lighting, clean white background, side profile view."
